epoch,train_loss,train_acc,val_loss,val_acc,train_time,val_time
0.0,2.1088097759628295,0.24870000000000003,1.6300311254501343,0.41700000000000004,18.583173751831055,2.1784377098083496
1.0,1.3560102699661254,0.50478,1.1958641424179077,0.5796,18.721057176589966,2.2001166343688965
2.0,1.0441082819366454,0.62524,1.3113501928329467,0.5686,18.748730421066284,2.3165433406829834
3.0,0.8567681293678284,0.6951400000000001,0.9278722867965699,0.686,18.81494903564453,2.217686891555786
4.0,0.7328217935371399,0.7446600000000001,0.8377995013237,0.7287,18.582929849624634,2.2700562477111816
5.0,0.6533134817886352,0.7725000000000001,0.7936065295219421,0.7319,19.352721691131592,2.272287368774414
6.0,0.5974649707126617,0.7950200000000001,0.5791217756271362,0.8011,19.460349082946777,2.2900314331054688
7.0,0.5518605136108399,0.80864,0.6268562840461731,0.7872,19.36836338043213,2.260529041290283
8.0,0.5185411595535279,0.81886,0.6775264030456543,0.7675000000000001,19.50128960609436,2.3623828887939453
9.0,0.48538343130111694,0.8335800000000001,0.545445168876648,0.8165,19.50248622894287,2.298034429550171
10.0,0.46203969339370726,0.83908,0.5870401529312134,0.8006000000000001,19.318898916244507,2.3341410160064697
11.0,0.43648467044830325,0.8495,0.5405875476837159,0.8223,19.48563575744629,2.307345390319824
12.0,0.4211488007259369,0.8534600000000001,0.5382782102584839,0.8233,19.520411252975464,2.2799010276794434
13.0,0.40621868490219115,0.8598000000000001,0.5843971188545227,0.8104,19.432778358459473,2.18574595451355
14.0,0.38780967205047606,0.8647800000000001,0.5384075447082519,0.8196,18.960962057113647,2.3020689487457275
15.0,0.3722853902435303,0.8706800000000001,0.5020889869689942,0.8374,18.764442682266235,2.2370388507843018
16.0,0.3650979323863983,0.87338,0.5469334155082702,0.8128000000000001,18.740252017974854,2.0496366024017334
17.0,0.34917060663223265,0.8795200000000001,0.4871191770553589,0.8401000000000001,18.552019119262695,2.2078068256378174
18.0,0.33898971231460573,0.88192,0.73703304271698,0.7787000000000001,18.716046571731567,2.2020606994628906
19.0,0.33431667967796325,0.8837400000000001,0.6018296719551086,0.8201,18.735963582992554,2.28995680809021
20.0,0.3253865735054016,0.8875000000000001,0.47421576652526853,0.8441000000000001,18.778836727142334,2.231934070587158
21.0,0.31737144144058227,0.88948,0.51544131565094,0.8362,18.76255202293396,2.279141902923584
22.0,0.3062282214641571,0.89402,0.46138172969818114,0.8508,18.738855361938477,2.2567365169525146
23.0,0.30393413673400876,0.8951600000000001,0.48893210897445677,0.8438,18.69181537628174,2.266803741455078
24.0,0.29203031992912293,0.8973200000000001,0.5222185368537903,0.8387,18.772045135498047,2.3009204864501953
25.0,0.2918910379600525,0.89822,0.4170706551551819,0.866,18.81908893585205,2.266752243041992
26.0,0.28491301568984984,0.9006400000000001,0.4490642286300659,0.8576,18.624666929244995,2.2011451721191406
27.0,0.2804426000118256,0.9027200000000001,0.5035025068998337,0.8375,18.679259300231934,2.2361233234405518
28.0,0.2762881573200226,0.9041000000000001,0.46023456115722655,0.8533000000000001,18.73855757713318,2.243525981903076
29.0,0.26786238864421846,0.9058600000000001,0.5485276831626892,0.8292,18.731375217437744,2.22904372215271
30.0,0.2659584096336365,0.90712,0.4189216812133789,0.8662000000000001,18.67708730697632,2.234759569168091
31.0,0.26605015125274656,0.90734,0.3993444351196289,0.8699,18.665048360824585,2.210117816925049
32.0,0.2566676641559601,0.90924,0.4816271409034729,0.8450000000000001,18.768170833587646,2.2728867530822754
33.0,0.25337018055915833,0.9125000000000001,0.4109248426437378,0.8719,18.831804275512695,2.278777837753296
34.0,0.250845075340271,0.9113600000000001,0.4053643921852112,0.8663000000000001,18.659257411956787,2.21353816986084
35.0,0.24913309816122056,0.9127600000000001,0.4232224883556366,0.8655,18.673615217208862,2.278237819671631
36.0,0.252714282579422,0.9126000000000001,0.4287945146560669,0.8649,18.662529706954956,2.2387211322784424
37.0,0.23993931191921233,0.9162800000000001,0.42896204328536985,0.866,18.654724836349487,2.247100830078125
38.0,0.23556469088554383,0.9174000000000001,0.4779655567169189,0.8528,18.67741322517395,2.1974308490753174
39.0,0.23604422667503358,0.9173600000000001,0.39696455841064454,0.8713000000000001,18.630449533462524,2.2600512504577637
40.0,0.23095689330101013,0.91968,0.4073964198589325,0.868,18.634673595428467,2.222050666809082
41.0,0.23078984980583192,0.9191800000000001,0.44102851819992067,0.8597,18.67119812965393,2.236321210861206
42.0,0.2326224276161194,0.9193800000000001,0.5551140900611877,0.8389000000000001,18.630104303359985,2.2612574100494385
43.0,0.2301220483493805,0.91956,0.47545534019470215,0.8561000000000001,18.664104223251343,2.2602970600128174
44.0,0.22585203990936278,0.9212600000000001,0.6798294295310974,0.8174,18.66166591644287,2.207097053527832
45.0,0.22021629427433015,0.92388,0.5098326725006104,0.8463,18.659510135650635,2.194179058074951
46.0,0.22079848170280456,0.9220600000000001,0.4222388217926025,0.8677,18.715920448303223,2.2683284282684326
47.0,0.21663322449684144,0.9236000000000001,0.41743825755119324,0.8783000000000001,18.64939570426941,2.249894618988037
48.0,0.2220913681411743,0.9221400000000001,0.4189915976524353,0.8714000000000001,18.70432472229004,2.2600831985473633
49.0,0.2107780034160614,0.9262400000000001,0.42294204998016355,0.8684000000000001,18.568912029266357,2.230802059173584
50.0,0.21380159546852112,0.92576,0.5031410600185394,0.8527,18.73940396308899,2.30039381980896
51.0,0.2096558776807785,0.9269200000000001,0.48847979736328123,0.8536,18.67599105834961,2.2725718021392822
52.0,0.21158584889411927,0.9260400000000001,0.5363823538303375,0.8443,18.651585578918457,2.2795610427856445
53.0,0.2101412061548233,0.92598,0.42574691252708435,0.8682000000000001,18.70154118537903,2.326287031173706
54.0,0.2006499878644943,0.9301,0.4778569567680359,0.8591000000000001,18.857646465301514,2.328943967819214
55.0,0.2043235792684555,0.9281800000000001,0.5037779232978821,0.8576,18.756786584854126,2.321265697479248
56.0,0.20490633354663848,0.9278200000000001,0.3641627322673798,0.8807,18.751514673233032,2.282952070236206
57.0,0.20442379504203798,0.9280400000000001,0.57044821434021,0.8404,18.779402256011963,2.2653379440307617
58.0,0.20431006949424743,0.92742,0.6425197632789612,0.8229000000000001,18.782509088516235,2.278017997741699
59.0,0.19615021333694457,0.93156,0.44804423151016237,0.8641000000000001,18.76271963119507,2.284662961959839
60.0,0.20204472331047058,0.92864,0.41754583277702334,0.8742000000000001,18.793290853500366,2.313384532928467
61.0,0.19012795580863953,0.9329400000000001,0.4771292165994644,0.8589,18.770409107208252,2.274226188659668
62.0,0.19363564999580382,0.9323600000000001,0.4105146722793579,0.8738,18.770098447799683,2.2900776863098145
63.0,0.19807909455776215,0.92998,0.5450049969673156,0.8489,18.781328678131104,2.2869880199432373
64.0,0.1979366778612137,0.93098,0.3865811728477478,0.8806,18.76581335067749,2.3157365322113037
65.0,0.18581270379066467,0.93544,0.4954642740249634,0.8594,18.78972625732422,2.2848381996154785
66.0,0.1929591297841072,0.9320600000000001,0.5685347087860108,0.8479,18.759388208389282,2.299663543701172
67.0,0.19336111490249633,0.93144,0.43722412822246554,0.8621000000000001,18.80118465423584,2.3220913410186768
68.0,0.19240667459487915,0.9318000000000001,0.4386556065559387,0.8665,18.781402826309204,2.3357505798339844
69.0,0.18644955945014954,0.9352,0.49099137020111083,0.8598,18.80972123146057,2.3082995414733887
